pid,AVGlatency,time,language,workflow,total_commit,total_nonmerge_commit,ageAtActions,contributorsize,interventionTRUE,time_after_intervention
100060912,2036.6,1,C++,2,2053,1943,10,268,0,0
100060912,996.585,2,C++,2,2053,1943,10,268,0,0
100060912,1198.32,3,C++,2,2053,1943,10,268,0,0
100060912,723.409,4,C++,2,2053,1943,10,268,0,0
100060912,895.114,5,C++,2,2053,1943,10,268,0,0
100060912,722.164,6,C++,2,2053,1943,10,268,0,0
100060912,693.51,7,C++,2,2053,1943,10,268,0,0
100060912,495.828,8,C++,2,2053,1943,10,268,0,0
100060912,593.002,9,C++,2,2053,1943,10,268,0,0
100060912,573.886,10,C++,2,2053,1943,10,268,0,0
100060912,409.361,11,C++,2,2053,1943,10,268,0,0
100060912,255.529,12,C++,2,2053,1943,10,268,0,0
100060912,229.738,13,C++,2,2053,1943,10,268,1,1
100060912,327.725,14,C++,2,2053,1943,10,268,1,2
100060912,258.218,15,C++,2,2053,1943,10,268,1,3
100060912,205.642,16,C++,2,2053,1943,10,268,1,4
100060912,274.644,17,C++,2,2053,1943,10,268,1,5
100060912,214.161,18,C++,2,2053,1943,10,268,1,6
100060912,181.087,19,C++,2,2053,1943,10,268,1,7
100060912,195.616,20,C++,2,2053,1943,10,268,1,8
100060912,183.353,21,C++,2,2053,1943,10,268,1,9
100060912,101.752,22,C++,2,2053,1943,10,268,1,10
100060912,56.3038,23,C++,2,2053,1943,10,268,1,11
100060912,21.7819,24,C++,2,2053,1943,10,268,1,12
100063125,1149.04,1,JavaScript,2,149,142,13,34,0,0
100063125,2637.76,2,JavaScript,2,149,142,13,34,0,0
100063125,8.34,3,JavaScript,2,149,142,13,34,0,0
100063125,3129.12,4,JavaScript,2,149,142,13,34,0,0
100063125,69.2203,5,JavaScript,2,149,142,13,34,0,0
100063125,1609.94,6,JavaScript,2,149,142,13,34,0,0
100063125,7000.83,7,JavaScript,2,149,142,13,34,0,0
100063125,570.793,8,JavaScript,2,149,142,13,34,0,0
100063125,212.651,9,JavaScript,2,149,142,13,34,0,0
100063125,672.806,10,JavaScript,2,149,142,13,34,0,0
100063125,17.2089,11,JavaScript,2,149,142,13,34,0,0
100063125,22.8724,12,JavaScript,2,149,142,13,34,0,0
100063125,72.0403,13,JavaScript,2,149,142,13,34,1,1
100063125,63.1171,14,JavaScript,2,149,142,13,34,1,2
100063125,1183.4,15,JavaScript,2,149,142,13,34,1,3
100063125,24.6461,16,JavaScript,2,149,142,13,34,1,4
100063125,147.035,17,JavaScript,2,149,142,13,34,1,5
100063125,6.7311,18,JavaScript,2,149,142,13,34,1,6
100063125,702.37,19,JavaScript,2,149,142,13,34,1,7
100063125,552.658,20,JavaScript,2,149,142,13,34,1,8
100063125,115.074,21,JavaScript,2,149,142,13,34,1,9
100063125,380.483,22,JavaScript,2,149,142,13,34,1,10
100063125,106.36,23,JavaScript,2,149,142,13,34,1,11
100063125,15.4132,24,JavaScript,2,149,142,13,34,1,12
100326126,2880.41,1,C++,1,1181,1176,12,29,0,0
100326126,1348.66,2,C++,1,1181,1176,12,29,0,0
100326126,1174.65,3,C++,1,1181,1176,12,29,0,0
100326126,952.552,4,C++,1,1181,1176,12,29,0,0
100326126,339.68,5,C++,1,1181,1176,12,29,0,0
100326126,308.634,6,C++,1,1181,1176,12,29,0,0
100326126,462.895,7,C++,1,1181,1176,12,29,0,0
100326126,121.297,8,C++,1,1181,1176,12,29,0,0
100326126,49.9247,9,C++,1,1181,1176,12,29,0,0
100326126,120.483,10,C++,1,1181,1176,12,29,0,0
100326126,78.5206,11,C++,1,1181,1176,12,29,0,0
100326126,137.04,12,C++,1,1181,1176,12,29,0,0
100326126,27.4378,13,C++,1,1181,1176,12,29,1,1
100326126,61.5187,14,C++,1,1181,1176,12,29,1,2
100326126,299.109,15,C++,1,1181,1176,12,29,1,3
100326126,108.583,16,C++,1,1181,1176,12,29,1,4
100326126,300.529,17,C++,1,1181,1176,12,29,1,5
100326126,244.953,18,C++,1,1181,1176,12,29,1,6
100326126,240.947,19,C++,1,1181,1176,12,29,1,7
100326126,100.543,20,C++,1,1181,1176,12,29,1,8
100326126,389.172,21,C++,1,1181,1176,12,29,1,9
100326126,197.242,22,C++,1,1181,1176,12,29,1,10
100326126,106.593,23,C++,1,1181,1176,12,29,1,11
100326126,42.4677,24,C++,1,1181,1176,12,29,1,12
100355112,892.543,1,PHP,3,644,550,12,25,0,0
100355112,200.148,2,PHP,3,644,550,12,25,0,0
100355112,163.114,3,PHP,3,644,550,12,25,0,0
100355112,2325.57,4,PHP,3,644,550,12,25,0,0
100355112,1498.94,5,PHP,3,644,550,12,25,0,0
100355112,377.234,6,PHP,3,644,550,12,25,0,0
100355112,394.133,7,PHP,3,644,550,12,25,0,0
100355112,43.7171,8,PHP,3,644,550,12,25,0,0
100355112,456.176,9,PHP,3,644,550,12,25,0,0
100355112,736.423,10,PHP,3,644,550,12,25,0,0
100355112,4.36534,11,PHP,3,644,550,12,25,0,0
100355112,182.423,12,PHP,3,644,550,12,25,0,0
100355112,34.0211,13,PHP,3,644,550,12,25,1,1
100355112,70.8846,14,PHP,3,644,550,12,25,1,2
100355112,500.516,15,PHP,3,644,550,12,25,1,3
100355112,7.84983,16,PHP,3,644,550,12,25,1,4
100355112,493.283,17,PHP,3,644,550,12,25,1,5
100355112,116.477,18,PHP,3,644,550,12,25,1,6
100355112,88.4997,19,PHP,3,644,550,12,25,1,7
100355112,361.021,20,PHP,3,644,550,12,25,1,8
100355112,0.8722,21,PHP,3,644,550,12,25,1,9
100355112,13.6556,22,PHP,3,644,550,12,25,1,10
100355112,100.826,23,PHP,3,644,550,12,25,1,11
100355112,154.532,24,PHP,3,644,550,12,25,1,12
1005627,417.157,1,C,1,11706,11677,12,68,0,0
1005627,142.988,2,C,1,11706,11677,12,68,0,0
1005627,438.293,3,C,1,11706,11677,12,68,0,0
1005627,965.515,4,C,1,11706,11677,12,68,0,0
1005627,327.64,5,C,1,11706,11677,12,68,0,0
1005627,103.404,6,C,1,11706,11677,12,68,0,0
1005627,203.538,7,C,1,11706,11677,12,68,0,0
1005627,40.6717,8,C,1,11706,11677,12,68,0,0
1005627,1818.69,9,C,1,11706,11677,12,68,0,0
1005627,171.19,10,C,1,11706,11677,12,68,0,0
1005627,3895.58,11,C,1,11706,11677,12,68,0,0
1005627,157.268,12,C,1,11706,11677,12,68,0,0
1005627,154.89,13,C,1,11706,11677,12,68,1,1
1005627,5798.31,14,C,1,11706,11677,12,68,1,2
1005627,401.373,15,C,1,11706,11677,12,68,1,3
1005627,112.56,16,C,1,11706,11677,12,68,1,4
1005627,449.817,17,C,1,11706,11677,12,68,1,5
1005627,1200.28,18,C,1,11706,11677,12,68,1,6
1005627,563.653,19,C,1,11706,11677,12,68,1,7
1005627,195.566,20,C,1,11706,11677,12,68,1,8
1005627,305.667,21,C,1,11706,11677,12,68,1,9
1005627,336.798,22,C,1,11706,11677,12,68,1,10
1005627,312.585,23,C,1,11706,11677,12,68,1,11
1005627,128.724,24,C,1,11706,11677,12,68,1,12
100624553,120.734,1,Kotlin,5,2676,2138,12,27,0,0
100624553,5.94034,2,Kotlin,5,2676,2138,12,27,0,0
100624553,122.473,3,Kotlin,5,2676,2138,12,27,0,0
100624553,134.472,4,Kotlin,5,2676,2138,12,27,0,0
100624553,7.83735,5,Kotlin,5,2676,2138,12,27,0,0
100624553,268.699,6,Kotlin,5,2676,2138,12,27,0,0
100624553,101.937,7,Kotlin,5,2676,2138,12,27,0,0
100624553,284.822,8,Kotlin,5,2676,2138,12,27,0,0
100624553,11.8859,9,Kotlin,5,2676,2138,12,27,0,0
100624553,102.139,10,Kotlin,5,2676,2138,12,27,0,0
100624553,67.9671,11,Kotlin,5,2676,2138,12,27,0,0
100624553,262.004,12,Kotlin,5,2676,2138,12,27,0,0
100624553,69.6647,13,Kotlin,5,2676,2138,12,27,1,1
100624553,489.786,14,Kotlin,5,2676,2138,12,27,1,2
100624553,704.869,15,Kotlin,5,2676,2138,12,27,1,3
100624553,240.556,16,Kotlin,5,2676,2138,12,27,1,4
100624553,184.133,17,Kotlin,5,2676,2138,12,27,1,5
100624553,36.8783,18,Kotlin,5,2676,2138,12,27,1,6
100624553,30.0482,19,Kotlin,5,2676,2138,12,27,1,7
100624553,133.156,20,Kotlin,5,2676,2138,12,27,1,8
100624553,55.6086,21,Kotlin,5,2676,2138,12,27,1,9
100624553,104.037,22,Kotlin,5,2676,2138,12,27,1,10
100624553,74.3233,23,Kotlin,5,2676,2138,12,27,1,11
100624553,20.5973,24,Kotlin,5,2676,2138,12,27,1,12
100781035,6703.64,1,C,1,358,330,13,47,0,0
100781035,1749.39,2,C,1,358,330,13,47,0,0
100781035,7896.8,3,C,1,358,330,13,47,0,0
100781035,7718.93,4,C,1,358,330,13,47,0,0
100781035,1722.31,5,C,1,358,330,13,47,0,0
100781035,7658.95,6,C,1,358,330,13,47,0,0
100781035,5504.03,7,C,1,358,330,13,47,0,0
100781035,4668.18,8,C,1,358,330,13,47,0,0
100781035,5568.75,9,C,1,358,330,13,47,0,0
100781035,5002.09,10,C,1,358,330,13,47,0,0
100781035,3168.7,11,C,1,358,330,13,47,0,0
100781035,6126.82,12,C,1,358,330,13,47,0,0
100781035,8.4639,13,C,1,358,330,13,47,1,1
100781035,20.9538,14,C,1,358,330,13,47,1,2
100781035,1797.08,15,C,1,358,330,13,47,1,3
100781035,1465.26,16,C,1,358,330,13,47,1,4
100781035,1360.58,17,C,1,358,330,13,47,1,5
100781035,342.784,18,C,1,358,330,13,47,1,6
100781035,271.338,19,C,1,358,330,13,47,1,7
100781035,905.027,20,C,1,358,330,13,47,1,8
100781035,222.302,21,C,1,358,330,13,47,1,9
100781035,1067.7,22,C,1,358,330,13,47,1,10
100781035,641.174,23,C,1,358,330,13,47,1,11
100781035,498.063,24,C,1,358,330,13,47,1,12
100982449,1669.61,1,Go,8,2234,2228,12,345,0,0
100982449,2633.31,2,Go,8,2234,2228,12,345,0,0
100982449,2920.58,3,Go,8,2234,2228,12,345,0,0
100982449,2603.14,4,Go,8,2234,2228,12,345,0,0
100982449,4131.23,5,Go,8,2234,2228,12,345,0,0
100982449,2532.91,6,Go,8,2234,2228,12,345,0,0
100982449,2456.99,7,Go,8,2234,2228,12,345,0,0
100982449,2790.77,8,Go,8,2234,2228,12,345,0,0
100982449,2635.67,9,Go,8,2234,2228,12,345,0,0
100982449,1222.25,10,Go,8,2234,2228,12,345,0,0
100982449,1715.12,11,Go,8,2234,2228,12,345,0,0
100982449,1055.72,12,Go,8,2234,2228,12,345,0,0
100982449,390.746,13,Go,8,2234,2228,12,345,1,1
100982449,561.341,14,Go,8,2234,2228,12,345,1,2
100982449,564.74,15,Go,8,2234,2228,12,345,1,3
100982449,481.522,16,Go,8,2234,2228,12,345,1,4
100982449,394.922,17,Go,8,2234,2228,12,345,1,5
100982449,456.789,18,Go,8,2234,2228,12,345,1,6
100982449,400.563,19,Go,8,2234,2228,12,345,1,7
100982449,408.355,20,Go,8,2234,2228,12,345,1,8
100982449,410.929,21,Go,8,2234,2228,12,345,1,9
100982449,371.809,22,Go,8,2234,2228,12,345,1,10
100982449,329.263,23,Go,8,2234,2228,12,345,1,11
100982449,200.622,24,Go,8,2234,2228,12,345,1,12
10113030,2570.37,1,Java,3,923,782,10,70,0,0
10113030,1077.42,2,Java,3,923,782,10,70,0,0
10113030,2762.63,3,Java,3,923,782,10,70,0,0
10113030,3366.71,4,Java,3,923,782,10,70,0,0
10113030,1587.13,5,Java,3,923,782,10,70,0,0
10113030,1764.45,6,Java,3,923,782,10,70,0,0
10113030,180.9,7,Java,3,923,782,10,70,0,0
10113030,516.044,8,Java,3,923,782,10,70,0,0
10113030,263.825,9,Java,3,923,782,10,70,0,0
10113030,1031.39,10,Java,3,923,782,10,70,0,0
10113030,249.306,11,Java,3,923,782,10,70,0,0
10113030,67.609,12,Java,3,923,782,10,70,0,0
10113030,655.942,13,Java,3,923,782,10,70,1,1
10113030,407.256,14,Java,3,923,782,10,70,1,2
10113030,592.899,15,Java,3,923,782,10,70,1,3
10113030,58.3754,16,Java,3,923,782,10,70,1,4
10113030,139.354,17,Java,3,923,782,10,70,1,5
10113030,442.388,18,Java,3,923,782,10,70,1,6
10113030,55.8685,19,Java,3,923,782,10,70,1,7
10113030,42.0537,20,Java,3,923,782,10,70,1,8
10113030,231.929,21,Java,3,923,782,10,70,1,9
10113030,4.67167,22,Java,3,923,782,10,70,1,10
10113030,0.0525,23,Java,3,923,782,10,70,1,11
10113030,103.304,24,Java,3,923,782,10,70,1,12
101394335,304,1,TypeScript,5,2273,2216,13,251,0,0
101394335,393.168,2,TypeScript,5,2273,2216,13,251,0,0
101394335,305.598,3,TypeScript,5,2273,2216,13,251,0,0
101394335,261.649,4,TypeScript,5,2273,2216,13,251,0,0
101394335,351.583,5,TypeScript,5,2273,2216,13,251,0,0
101394335,233.772,6,TypeScript,5,2273,2216,13,251,0,0
101394335,238.519,7,TypeScript,5,2273,2216,13,251,0,0
101394335,346.702,8,TypeScript,5,2273,2216,13,251,0,0
101394335,339.827,9,TypeScript,5,2273,2216,13,251,0,0
101394335,293.443,10,TypeScript,5,2273,2216,13,251,0,0
101394335,258.085,11,TypeScript,5,2273,2216,13,251,0,0
101394335,228.128,12,TypeScript,5,2273,2216,13,251,0,0
101394335,295.768,13,TypeScript,5,2273,2216,13,251,1,1
101394335,371.606,14,TypeScript,5,2273,2216,13,251,1,2
101394335,181.838,15,TypeScript,5,2273,2216,13,251,1,3
101394335,245.888,16,TypeScript,5,2273,2216,13,251,1,4
101394335,280.684,17,TypeScript,5,2273,2216,13,251,1,5
101394335,349.667,18,TypeScript,5,2273,2216,13,251,1,6
101394335,415.088,19,TypeScript,5,2273,2216,13,251,1,7
101394335,386.475,20,TypeScript,5,2273,2216,13,251,1,8
101394335,222.166,21,TypeScript,5,2273,2216,13,251,1,9
101394335,293.981,22,TypeScript,5,2273,2216,13,251,1,10
101394335,153.25,23,TypeScript,5,2273,2216,13,251,1,11
101394335,198.868,24,TypeScript,5,2273,2216,13,251,1,12
101540444,4623.33,1,C,1,251,209,12,8,0,0
101540444,4476.03,2,C,1,251,209,12,8,0,0
101540444,2799.6,3,C,1,251,209,12,8,0,0
101540444,1279.44,4,C,1,251,209,12,8,0,0
101540444,2177.82,5,C,1,251,209,12,8,0,0
101540444,1688.33,6,C,1,251,209,12,8,0,0
101540444,556.639,7,C,1,251,209,12,8,0,0
101540444,145.65,8,C,1,251,209,12,8,0,0
101540444,118.566,9,C,1,251,209,12,8,0,0
101540444,24.21,10,C,1,251,209,12,8,0,0
101540444,768.591,11,C,1,251,209,12,8,0,0
101540444,64.7778,12,C,1,251,209,12,8,0,0
101540444,22.8671,13,C,1,251,209,12,8,1,1
101540444,65.6559,14,C,1,251,209,12,8,1,2
101540444,175.836,15,C,1,251,209,12,8,1,3
101540444,293.225,16,C,1,251,209,12,8,1,4
101540444,362.985,17,C,1,251,209,12,8,1,5
101540444,253.961,18,C,1,251,209,12,8,1,6
101540444,103.211,19,C,1,251,209,12,8,1,7
101540444,668.877,20,C,1,251,209,12,8,1,8
101540444,264.932,21,C,1,251,209,12,8,1,9
101540444,170.948,22,C,1,251,209,12,8,1,10
101540444,0.0375,23,C,1,251,209,12,8,1,11
101540444,1251.93,24,C,1,251,209,12,8,1,12
101643617,821.738,1,C++,3,12137,11729,13,41,0,0
101643617,993.515,2,C++,3,12137,11729,13,41,0,0
101643617,1782.23,3,C++,3,12137,11729,13,41,0,0
101643617,3703.5,4,C++,3,12137,11729,13,41,0,0
101643617,1775.23,5,C++,3,12137,11729,13,41,0,0
101643617,1120.82,6,C++,3,12137,11729,13,41,0,0
101643617,1209.96,7,C++,3,12137,11729,13,41,0,0
101643617,522.113,8,C++,3,12137,11729,13,41,0,0
101643617,1589.84,9,C++,3,12137,11729,13,41,0,0
101643617,536.344,10,C++,3,12137,11729,13,41,0,0
101643617,670.905,11,C++,3,12137,11729,13,41,0,0
101643617,942.556,12,C++,3,12137,11729,13,41,0,0
101643617,972.285,13,C++,3,12137,11729,13,41,1,1
101643617,589.53,14,C++,3,12137,11729,13,41,1,2
101643617,358.419,15,C++,3,12137,11729,13,41,1,3
101643617,448.605,16,C++,3,12137,11729,13,41,1,4
101643617,1613.5,17,C++,3,12137,11729,13,41,1,5
101643617,492.339,18,C++,3,12137,11729,13,41,1,6
101643617,574.879,19,C++,3,12137,11729,13,41,1,7
101643617,771.457,20,C++,3,12137,11729,13,41,1,8
101643617,1180.9,21,C++,3,12137,11729,13,41,1,9
101643617,175.532,22,C++,3,12137,11729,13,41,1,10
101643617,102.554,23,C++,3,12137,11729,13,41,1,11
101643617,193.467,24,C++,3,12137,11729,13,41,1,12
101704343,1497.97,1,Go,1,435,425,13,17,0,0
101704343,8985.76,2,Go,1,435,425,13,17,0,0
101704343,4953.46,3,Go,1,435,425,13,17,0,0
101704343,1526.43,4,Go,1,435,425,13,17,0,0
101704343,242.017,5,Go,1,435,425,13,17,0,0
101704343,3803.01,6,Go,1,435,425,13,17,0,0
101704343,2953.99,7,Go,1,435,425,13,17,0,0
101704343,1799.81,8,Go,1,435,425,13,17,0,0
101704343,3786.28,9,Go,1,435,425,13,17,0,0
101704343,1288.75,10,Go,1,435,425,13,17,0,0
101704343,2397.84,11,Go,1,435,425,13,17,0,0
101704343,1312.45,12,Go,1,435,425,13,17,0,0
101704343,766.861,13,Go,1,435,425,13,17,1,1
101704343,704.285,14,Go,1,435,425,13,17,1,2
101704343,3156.44,15,Go,1,435,425,13,17,1,3
101704343,984.185,16,Go,1,435,425,13,17,1,4
101704343,1285.64,17,Go,1,435,425,13,17,1,5
101704343,707.167,18,Go,1,435,425,13,17,1,6
101704343,689.386,19,Go,1,435,425,13,17,1,7
101704343,832.309,20,Go,1,435,425,13,17,1,8
101704343,926.065,21,Go,1,435,425,13,17,1,9
101704343,10.4295,22,Go,1,435,425,13,17,1,10
101704343,0.1217,23,Go,1,435,425,13,17,1,11
101704343,0.01805,24,Go,1,435,425,13,17,1,12
101767772,15674.1,1,Rust,3,7967,7480,13,232,0,0
101767772,2950.88,2,Rust,3,7967,7480,13,232,0,0
101767772,2008.93,3,Rust,3,7967,7480,13,232,0,0
101767772,2695.49,4,Rust,3,7967,7480,13,232,0,0
101767772,2748.26,5,Rust,3,7967,7480,13,232,0,0
101767772,2342.39,6,Rust,3,7967,7480,13,232,0,0
101767772,2791.31,7,Rust,3,7967,7480,13,232,0,0
101767772,624.33,8,Rust,3,7967,7480,13,232,0,0
101767772,1400.07,9,Rust,3,7967,7480,13,232,0,0
101767772,939.239,10,Rust,3,7967,7480,13,232,0,0
101767772,1121.77,11,Rust,3,7967,7480,13,232,0,0
101767772,444.767,12,Rust,3,7967,7480,13,232,0,0
101767772,463.369,13,Rust,3,7967,7480,13,232,1,1
101767772,548.479,14,Rust,3,7967,7480,13,232,1,2
101767772,183.037,15,Rust,3,7967,7480,13,232,1,3
101767772,371.939,16,Rust,3,7967,7480,13,232,1,4
101767772,438.09,17,Rust,3,7967,7480,13,232,1,5
101767772,218.039,18,Rust,3,7967,7480,13,232,1,6
101767772,178.206,19,Rust,3,7967,7480,13,232,1,7
101767772,330.377,20,Rust,3,7967,7480,13,232,1,8
101767772,240.284,21,Rust,3,7967,7480,13,232,1,9
101767772,139.154,22,Rust,3,7967,7480,13,232,1,10
101767772,181.434,23,Rust,3,7967,7480,13,232,1,11
101767772,231.36,24,Rust,3,7967,7480,13,232,1,12
101782647,133.173,1,Python,3,1809,1791,13,231,0,0
101782647,166.168,2,Python,3,1809,1791,13,231,0,0
101782647,1316.9,3,Python,3,1809,1791,13,231,0,0
101782647,609.243,4,Python,3,1809,1791,13,231,0,0
101782647,384.769,5,Python,3,1809,1791,13,231,0,0
101782647,551.134,6,Python,3,1809,1791,13,231,0,0
101782647,633.377,7,Python,3,1809,1791,13,231,0,0
101782647,520.704,8,Python,3,1809,1791,13,231,0,0
101782647,406.253,9,Python,3,1809,1791,13,231,0,0
101782647,313.677,10,Python,3,1809,1791,13,231,0,0
101782647,677.785,11,Python,3,1809,1791,13,231,0,0
101782647,251.814,12,Python,3,1809,1791,13,231,0,0
101782647,214.825,13,Python,3,1809,1791,13,231,1,1
101782647,743.273,14,Python,3,1809,1791,13,231,1,2
101782647,405.172,15,Python,3,1809,1791,13,231,1,3
101782647,214.326,16,Python,3,1809,1791,13,231,1,4
101782647,271.951,17,Python,3,1809,1791,13,231,1,5
101782647,392.033,18,Python,3,1809,1791,13,231,1,6
101782647,251.8,19,Python,3,1809,1791,13,231,1,7
101782647,194.895,20,Python,3,1809,1791,13,231,1,8
101782647,196.919,21,Python,3,1809,1791,13,231,1,9
101782647,168.664,22,Python,3,1809,1791,13,231,1,10
101782647,231.724,23,Python,3,1809,1791,13,231,1,11
101782647,279.547,24,Python,3,1809,1791,13,231,1,12
1020639,716.313,1,Python,2,11722,9393,12,272,0,0
1020639,1281.16,2,Python,2,11722,9393,12,272,0,0
1020639,56.3819,3,Python,2,11722,9393,12,272,0,0
1020639,158.434,4,Python,2,11722,9393,12,272,0,0
1020639,32.3161,5,Python,2,11722,9393,12,272,0,0
1020639,96.9997,6,Python,2,11722,9393,12,272,0,0
1020639,1250.59,7,Python,2,11722,9393,12,272,0,0
1020639,23.7125,8,Python,2,11722,9393,12,272,0,0
1020639,876.983,9,Python,2,11722,9393,12,272,0,0
1020639,1076.08,10,Python,2,11722,9393,12,272,0,0
1020639,46.1092,11,Python,2,11722,9393,12,272,0,0
1020639,138.167,12,Python,2,11722,9393,12,272,0,0
1020639,4.1281,13,Python,2,11722,9393,12,272,1,1
1020639,1662.27,14,Python,2,11722,9393,12,272,1,2
1020639,206.469,15,Python,2,11722,9393,12,272,1,3
1020639,962.842,16,Python,2,11722,9393,12,272,1,4
1020639,434.872,17,Python,2,11722,9393,12,272,1,5
1020639,722.203,18,Python,2,11722,9393,12,272,1,6
1020639,1120.85,19,Python,2,11722,9393,12,272,1,7
1020639,1514.08,20,Python,2,11722,9393,12,272,1,8
1020639,168.815,21,Python,2,11722,9393,12,272,1,9
1020639,135.198,22,Python,2,11722,9393,12,272,1,10
1020639,136.869,23,Python,2,11722,9393,12,272,1,11
1020639,68.8243,24,Python,2,11722,9393,12,272,1,12
102217920,1423.92,1,TypeScript,1,981,778,10,92,0,0
102217920,1818.24,2,TypeScript,1,981,778,10,92,0,0
102217920,2029.77,3,TypeScript,1,981,778,10,92,0,0
102217920,2219.29,4,TypeScript,1,981,778,10,92,0,0
102217920,1404.73,5,TypeScript,1,981,778,10,92,0,0
102217920,927.321,6,TypeScript,1,981,778,10,92,0,0
102217920,1008.32,7,TypeScript,1,981,778,10,92,0,0
102217920,738.727,8,TypeScript,1,981,778,10,92,0,0
102217920,2001.17,9,TypeScript,1,981,778,10,92,0,0
102217920,1029.95,10,TypeScript,1,981,778,10,92,0,0
102217920,908.461,11,TypeScript,1,981,778,10,92,0,0
102217920,811.294,12,TypeScript,1,981,778,10,92,0,0
102217920,1015.8,13,TypeScript,1,981,778,10,92,1,1
102217920,120.08,14,TypeScript,1,981,778,10,92,1,2
102217920,333.611,15,TypeScript,1,981,778,10,92,1,3
102217920,94.7287,16,TypeScript,1,981,778,10,92,1,4
102217920,204.64,17,TypeScript,1,981,778,10,92,1,5
102217920,301.332,18,TypeScript,1,981,778,10,92,1,6
102217920,371.101,19,TypeScript,1,981,778,10,92,1,7
102217920,210.307,20,TypeScript,1,981,778,10,92,1,8
102217920,393.65,21,TypeScript,1,981,778,10,92,1,9
102217920,455.156,22,TypeScript,1,981,778,10,92,1,10
102217920,112.82,23,TypeScript,1,981,778,10,92,1,11
102217920,60.5141,24,TypeScript,1,981,778,10,92,1,12
102578345,337.258,1,C,2,3088,2897,13,212,0,0
102578345,2445.45,2,C,2,3088,2897,13,212,0,0
102578345,1954.2,3,C,2,3088,2897,13,212,0,0
102578345,1101.78,4,C,2,3088,2897,13,212,0,0
102578345,850.51,5,C,2,3088,2897,13,212,0,0
102578345,1638.06,6,C,2,3088,2897,13,212,0,0
102578345,1320.52,7,C,2,3088,2897,13,212,0,0
102578345,1057.28,8,C,2,3088,2897,13,212,0,0
102578345,631.297,9,C,2,3088,2897,13,212,0,0
102578345,326.407,10,C,2,3088,2897,13,212,0,0
102578345,296.874,11,C,2,3088,2897,13,212,0,0
102578345,258.402,12,C,2,3088,2897,13,212,0,0
102578345,223.853,13,C,2,3088,2897,13,212,1,1
102578345,74.9633,14,C,2,3088,2897,13,212,1,2
102578345,220.797,15,C,2,3088,2897,13,212,1,3
102578345,516.16,16,C,2,3088,2897,13,212,1,4
102578345,304.904,17,C,2,3088,2897,13,212,1,5
102578345,156.158,18,C,2,3088,2897,13,212,1,6
102578345,243.608,19,C,2,3088,2897,13,212,1,7
102578345,243.582,20,C,2,3088,2897,13,212,1,8
102578345,100.322,21,C,2,3088,2897,13,212,1,9
102578345,154.125,22,C,2,3088,2897,13,212,1,10
102578345,175.657,23,C,2,3088,2897,13,212,1,11
102578345,119.872,24,C,2,3088,2897,13,212,1,12
10270722,533.979,1,Go,1,1353,1353,13,373,0,0
10270722,665.127,2,Go,1,1353,1353,13,373,0,0
10270722,1047.38,3,Go,1,1353,1353,13,373,0,0
10270722,1033.53,4,Go,1,1353,1353,13,373,0,0
10270722,390.035,5,Go,1,1353,1353,13,373,0,0
10270722,344.929,6,Go,1,1353,1353,13,373,0,0
10270722,225.389,7,Go,1,1353,1353,13,373,0,0
10270722,1270.33,8,Go,1,1353,1353,13,373,0,0
10270722,969.825,9,Go,1,1353,1353,13,373,0,0
10270722,1718.34,10,Go,1,1353,1353,13,373,0,0
10270722,707.49,11,Go,1,1353,1353,13,373,0,0
10270722,1053.73,12,Go,1,1353,1353,13,373,0,0
10270722,113.555,13,Go,1,1353,1353,13,373,1,1
10270722,218.613,14,Go,1,1353,1353,13,373,1,2
10270722,554.91,15,Go,1,1353,1353,13,373,1,3
10270722,51.3807,16,Go,1,1353,1353,13,373,1,4
10270722,498.012,17,Go,1,1353,1353,13,373,1,5
10270722,231.488,18,Go,1,1353,1353,13,373,1,6
10270722,182.583,19,Go,1,1353,1353,13,373,1,7
10270722,476.766,20,Go,1,1353,1353,13,373,1,8
10270722,779.241,21,Go,1,1353,1353,13,373,1,9
10270722,604.796,22,Go,1,1353,1353,13,373,1,10
10270722,423.252,23,Go,1,1353,1353,13,373,1,11
10270722,29.7219,24,Go,1,1353,1353,13,373,1,12
102908804,824.623,1,Python,5,728,728,13,48,0,0
102908804,374.201,2,Python,5,728,728,13,48,0,0
102908804,1181.17,3,Python,5,728,728,13,48,0,0
102908804,1460.27,4,Python,5,728,728,13,48,0,0
102908804,821.505,5,Python,5,728,728,13,48,0,0
102908804,711.233,6,Python,5,728,728,13,48,0,0
102908804,1178.12,7,Python,5,728,728,13,48,0,0
102908804,2342.11,8,Python,5,728,728,13,48,0,0
102908804,1273.98,9,Python,5,728,728,13,48,0,0
102908804,844.753,10,Python,5,728,728,13,48,0,0
102908804,935.666,11,Python,5,728,728,13,48,0,0
102908804,940.417,12,Python,5,728,728,13,48,0,0
102908804,1318.01,13,Python,5,728,728,13,48,1,1
102908804,343.517,14,Python,5,728,728,13,48,1,2
102908804,161.68,15,Python,5,728,728,13,48,1,3
102908804,401.501,16,Python,5,728,728,13,48,1,4
102908804,214.114,17,Python,5,728,728,13,48,1,5
102908804,213.728,18,Python,5,728,728,13,48,1,6
102908804,375.451,19,Python,5,728,728,13,48,1,7
102908804,419.511,20,Python,5,728,728,13,48,1,8
102908804,217.594,21,Python,5,728,728,13,48,1,9
102908804,308.335,22,Python,5,728,728,13,48,1,10
102908804,269.754,23,Python,5,728,728,13,48,1,11
